Domain,Score (%),TDU,Focus
Motor Intelligence,57.33,30,🔧 Constraint Mitigation
Strategic Thinking,62.67,30,🔧 Constraint Mitigation
Logical Reasoning & Deduction,68.0,30,🔧 Constraint Mitigation
Memory Systems,68.0,30,🔧 Constraint Mitigation
Cultural Intelligence,69.33,30,🔧 Constraint Mitigation
Narrative Intelligence,76.0,15,📈 Enrichment
Existential Intelligence,76.0,15,📈 Enrichment
Adaptive Intelligence,76.0,15,📈 Enrichment
Mathematical Intelligence,80.0,15,📈 Enrichment
Scientific Reasoning,86.67,15,📈 Enrichment
Spatial Intelligence,86.67,15,📈 Enrichment
Social Cognition,86.67,15,📈 Enrichment
Metacognitive Awareness,89.33,15,📈 Enrichment
Linguistic Competence,100.0,5,🌞 Perpetual Enrichment
Creative Problem Solving,100.0,5,🌞 Perpetual Enrichment
Emotional Intelligence,100.0,5,🌞 Perpetual Enrichment
Temporal Reasoning,100.0,5,🌞 Perpetual Enrichment
Abstract Conceptual Thinking,100.0,5,🌞 Perpetual Enrichment
Moral Reasoning,100.0,5,🌞 Perpetual Enrichment
Perceptual Processing,100.0,5,🌞 Perpetual Enrichment
Analogical Reasoning,100.0,5,🌞 Perpetual Enrichment
Causal Understanding,100.0,5,🌞 Perpetual Enrichment
Practical Intelligence,100.0,5,🌞 Perpetual Enrichment
Technological Intelligence,100.0,5,🌞 Perpetual Enrichment
Integrative Intelligence,100.0,5,🌞 Perpetual Enrichment
