source,evidence,value_number
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,"IVP processing complete - Total value: $1,247",1247.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $35,35.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $28,28.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $42,42.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $32,32.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $25,25.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $30,30.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $45,45.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $22,22.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $38,38.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $33,33.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $27,27.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $24,24.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $15,15.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $20,20.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $65,65.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $18,18.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $26,26.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $40,40.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $50,50.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Market Value: $55,55.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,"Value: $1,247",1247.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $24.94,24.94
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $35,35.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $28,28.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $42,42.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $32,32.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $25,25.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $30,30.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $45,45.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $22,22.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $38,38.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $33,33.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $27,27.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $24,24.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $15,15.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $20,20.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $65,65.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $18,18.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $26,26.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $40,40.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $50,50.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,Value: $55,55.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,"value: $1,247",1247.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,"Total value: $1,247",1247.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,"$1,247 USD",1247.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$24.94 USD,24.94
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$35,35.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$28,28.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$42,42.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$32,32.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$25,25.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$30,30.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$45,45.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$22,22.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$38,38.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$33,33.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$27,27.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$24,24.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$15,15.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$20,20.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$65,65.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$18,18.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$26,26.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$40,40.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$50,50.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,$55,55.0
/mnt/data/CREATIVE_PACK_50__The_Sovereign_Arsenal.docx,"$1,247",1247.0
/mnt/data/extracted_all/HLE_AUTO_ASSESS_PACK/HLE_Mini_Exam.md,$100,100.0
